scene,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,evi_mean,evi_std,texture_contrast,texture_homogeneity
S2A_MSIL1C_20260406T100051_N0512_R122_T32SPF_20260406T151531.SAFE,0.09823907166719437,0.19841410219669342,-0.6161478161811829,0.6793712973594666,-0.034175291657447815,0.2299397885799408,-0.06887990236282349,0.08622190356254578,0.14559084177017212,0.3145981431007385,5.744381349989076,0.7472562287369485
S2A_MSIL1C_20260409T101051_N0512_R022_T32SPF_20260409T152519.SAFE,0.1312105506658554,0.196903795003891,-0.3050599992275238,0.669151782989502,-0.07401549071073532,0.23065374791622162,-0.07936343550682068,0.09818249940872192,0.18863734602928162,0.5954256057739258,1.901349089858748,0.9455928053160918
S2A_MSIL1C_20260426T100051_N0512_R122_T32SPF_20260426T151525.SAFE,0.09496217966079712,0.1787175089120865,-0.4575110673904419,0.6940611004829407,-0.05211164802312851,0.20145653188228607,-0.053803931921720505,0.07285488396883011,0.14063718914985657,0.2832227051258087,6.630388599132207,0.6917118967420633
S2A_MSIL1C_20260506T100041_N0512_R122_T32SPF_20260506T151521.SAFE,0.011338086798787117,0.012683942914009094,-0.3253428041934967,0.31424540281295776,-0.028297342360019684,0.014871484600007534,-0.4035583734512329,0.09627100080251694,2.2530388832092285,6815.01611328125,0.6808766479341004,0.754660941148946
S2A_MSIL1C_20260526T100041_N0512_R122_T32SPF_20260526T151555.SAFE,0.05553865060210228,0.12113941460847855,-0.5031793117523193,0.6186375021934509,-0.03982773795723915,0.15643548965454102,-0.025169579312205315,0.06459670513868332,0.07473189383745193,0.4897949993610382,3.136295454594473,0.7406238222573365
S2B_MSIL1C_20260412T101019_N0512_R022_T32SPF_20260412T134431.SAFE,0.03644067049026489,0.04609644040465355,-0.3201952278614044,0.4809110164642334,-0.05639876052737236,0.04048742353916168,-0.3594253659248352,0.11088043451309204,16.821218490600586,24968.025390625,2.1211320966952805,0.9434085351250683
S2B_MSIL1C_20260509T100019_N0512_R122_T32SPF_20260509T133418.SAFE,0.024799063801765442,0.06231611594557762,-0.4070752263069153,0.42064398527145386,-0.020831068977713585,0.07394510507583618,-0.12432441860437393,0.0961163341999054,4.194212436676025,10429.7216796875,1.0851457020697406,0.7420862150932563
S2B_MSIL1C_20260608T100029_N0512_R122_T32SPF_20260608T134034.SAFE,0.012748436070978642,0.0488717146217823,-0.4116421341896057,0.5478190183639526,-0.01399565115571022,0.06488252431154251,-0.11749149858951569,0.12776556611061096,7.3736958503723145,14805.2109375,1.5689886770089814,0.6915318650270109
S2C_MSIL1C_20260524T100021_N0512_R122_T32SPF_20260524T133919.SAFE,0.05994783341884613,0.13412058353424072,-0.587203323841095,0.6493168473243713,-0.04130704700946808,0.17255738377571106,-0.00932327937334776,0.06044519692659378,0.08116991817951202,0.39253953099250793,6.475850974645918,0.6627841074063623
S2C_MSIL1C_20260613T100031_N0512_R122_T32SPF_20260613T133922.SAFE,0.05310259386897087,0.1244937852025032,-0.5899526476860046,0.6439505815505981,-0.04550144821405411,0.1655634641647339,0.0038295413833111525,0.06483196467161179,0.004922982770949602,687.6139526367188,6.374878352795061,0.6366416144529181
