method,tp,fp,fn,tn,precision,recall,f1,fpr,roc_auc,avg_precision,best_threshold
Rule-based (7 filters),5,4,3,36,0.5555555555555556,0.625,0.5882352936193771,0.1,,,
Isolation Forest,8,29,0,11,0.21621621621621623,1.0,0.35555555526320987,0.725,0.565625,0.308755210554311,-0.11647727847627037
Random Forest,7,26,1,14,0.21212121212121213,0.875,0.34146341432004756,0.65,0.5375,0.24534782347282347,0.25767261904761907
