Method,TP,FP,FN,TN,Precision,Recall,F1,FPR,AUC
Rule-based (TRUE),39,10,0,0,0.796,1.0,0.886,1.0,N/A
Isolation Forest,36,1,3,9,0.973,0.923,0.947,0.1,N/A
Hybrid (TRUE),39,10,0,0,0.796,1.0,0.886,1.0,N/A
