scene_name,tile,platform,sensing_date,processing_baseline,product_uuid,esa_flag,failed_indicator,expected_reject,sensor_quality,geometric_quality,general_quality,format_correctness,radiometric_quality,degraded_anc_pct,degraded_msi_pct,nodata_pct,saturated_defective_pct,cloud_cover_pct,mask_defective_px,mask_nodata_px,mask_lost_packet_px,mask_saturated_px,source
S2A_MSIL1C_20240214T100121_N0510_R122_T32SPF_20240214T104957.SAFE,T32SPF,SENTINEL-2,2024-02-14T10:01:21.024000Z,,a5a3ba2b-1571-406f-bbb0-820dfff0110d,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,11.329869509391,,,,,ESA_OLQC
S2A_MSIL1C_20240217T101101_N0510_R022_T32SPF_20240217T121359.SAFE,T32SPF,SENTINEL-2,2024-02-17T10:11:01.024000Z,,88d938d5-5ac8-4432-80f4-a48c1be2b7fc,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,99.485612858792,,,,,ESA_OLQC
S2B_MSIL1C_20240219T095949_N0510_R122_T32SPF_20240219T120151.SAFE,T32SPF,SENTINEL-2,2024-02-19T09:59:49.024000Z,,5d1fa9cc-e4a5-4ece-8a5a-9669dbbc2a06,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,34.734509839052,,,,,ESA_OLQC
S2B_MSIL1C_20240222T100939_N0510_R022_T32SPF_20240222T123415.SAFE,T32SPF,SENTINEL-2,2024-02-22T10:09:39.024000Z,,6e3b587d-f975-4fe0-877a-6c4811c8b2cb,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,11.071447333859,,,,,ESA_OLQC
S2B_MSIL1C_20240222T100939_N0510_R022_T32SPF_20240222T120930.SAFE,T32SPF,SENTINEL-2,2024-02-22T10:09:39.024000Z,,c5a14c9c-156b-4439-a656-fe179390f74f,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,12.124132121707,,,,,ESA_OLQC
S2A_MSIL1C_20240224T100021_N0510_R122_T32SPF_20240224T120031.SAFE,T32SPF,SENTINEL-2,2024-02-24T10:00:21.024000Z,,b0e1401b-5821-4922-9913-e5067267c037,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,99.89548807071,,,,,ESA_OLQC
S2A_MSIL1C_20240227T100951_N0510_R022_T32SPF_20240227T121636.SAFE,T32SPF,SENTINEL-2,2024-02-27T10:09:51.025000Z,,80e4a796-7986-4971-a73a-a1c18f2abcd3,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,99.992719510023,,,,,ESA_OLQC
S2B_MSIL1C_20240229T095839_N0510_R122_T32SPF_20240229T151937.SAFE,T32SPF,SENTINEL-2,2024-02-29T09:58:39.024000Z,,0cae28b2-05ce-405c-be16-e35fc2e8d9c2,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,99.724327391084,,,,,ESA_OLQC
S2B_MSIL1C_20240303T100819_N0510_R022_T32SPF_20240303T121438.SAFE,T32SPF,SENTINEL-2,2024-03-03T10:08:19.024000Z,,be0e9bb1-9054-46f0-98e0-b2d51452091d,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,6.390433892739,,,,,ESA_OLQC
S2A_MSIL1C_20240305T100031_N0510_R122_T32SPF_20240305T120434.SAFE,T32SPF,SENTINEL-2,2024-03-05T10:00:31.024000Z,,0d691e85-fdd4-4ca2-aa69-187168ea7e3f,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,84.878497417062,,,,,ESA_OLQC
